COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,EC No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
8280200%,NASTURTIUM OFFICINALE EXTRACT,,, 84775-70-2 , 283-899-4 ,"Nasturtium Officinale Extract is an extract of the whole plant of the Watercress, Nasturtium officinale, Brassicaceae ",,"PERFUMING, SKIN CONDITIONING",4046600%
4086800%,NASTURTIUM OFFICINALE FLOWER EXTRACT,,, 84775-70-2, 283-899-4,"Nasturtium Officinale Flower Extract is an extract obtained from the flowers of the Watercress, Nasturtium officinale, Cruciferae",,PERFUMING,4060400%
4086900%,NASTURTIUM OFFICINALE FLOWER OIL,,, 84775-70-2, 283-899-4,"Nasturtium Officinale Flower Oil is an essential oil obtained from the flowers of the Watercress, Nasturtium officinale, Cruciferae",,PERFUMING,4060400%
5732300%,NASTURTIUM OFFICINALE FLOWER/LEAF EXTRACT,,, 84775-70-2, 283-899-4,"Nasturtium Officinale Flower/Leaf Extract is an extract of the flowers and leaves of the Watercress, Nasturtium officinale, Brassicaceae",,"ANTI-SEBUM, SOOTHING, TONIC",4046600%
8280000%,NASTURTIUM OFFICINALE FLOWER/LEAF/STEM EXTRACT,,, 84775-70-2 , 283-899-4 ,"Nasturtium Officinale Flower/Leaf/Stem Extract is an extract of the flowers, leaves and stems of the Watercress, Nasturtium officinale, Brassicaceae ",,"PERFUMING, SKIN CONDITIONING",4046600%
8278700%,NASTURTIUM OFFICINALE LEAF EXTRACT,,, 84775-70-2 , 283-899-4 ,"Nasturtium Officinale Leaf Extract is an extract of the leaves of the Watercress, Nasturtium officinale, Brassicaceae ",,"FRAGRANCE, PERFUMING, SKIN CONDITIONING",4046600%
8280300%,NASTURTIUM OFFICINALE LEAF/STEM EXTRACT,,, 84775-70-2 , 283-899-4 ,"Nasturtium Officinale Leaf/Stem Extract is the extract of the leaves and stems of the Watercress, Nasturtium officinale, Brassicaceae ",,SKIN CONDITIONING,4046600%
9160700%,NATAMYCIN,,, 7681-93-8, 231-683-5 (I),"6,11,28-Trioxatricyclo[22.3.1.05,7]octacosa-8,14,16,18,20-pentaene-25-carboxylic acid, 22-[(3-amino-3,6-dideoxy-.beta.-D-mannopyranosyl)oxy]-1,3,26-trihydroxy-12-methyl-10-oxo-, (1R,3S,5R,7R,8E,12R,14E,16E,18E,20E,22R,24S,25R,26S)-",,"ANTIMICROBIAL, PRESERVATIVE",4194000%
7733400%,NATTO GUM,,, 9079-02-1, ,Product obtained from fermentation of soy protein by Bacillus natto,,FILM FORMING,4046600%
9177000%,NAUCLEA ORIENTALIS CALLUS EXTRACT,,, , ,"Nauclea Orientalis Callus Extract is the extract of the callus of Nauclea orientalis grown in culture, Rubiaceae .",,"ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING",4194000%
9243100%,NEATSFOOT OIL,,, 8002-64-0, 232-314-0 (I),"Bubulum,Bubulum Oil (EU)",,SKIN CONDITIONING,4220600%
5732500%,NELUMBIUM SPECIOSUM FLOWER EXTRACT,,, 85085-51-4, 285-379-2,"Nelumbium Speciosum Flower Extract is an extract of the flowers of the Sacred Lotus, Nelumbium speciosum, Nymphaeaceae",,SKIN CONDITIONING,4046600%
5732600%,NELUMBIUM SPECIOSUM FLOWER OIL,,, 85085-51-4, 285-379-2,"Nelumbium Speciosum Flower Oil is the fixed oil obtained from the flowers of the Sacred Lotus, Nelumbium speciosum, Nymphaeaceae",,SKIN CONDITIONING,4046600%
5732700%,NELUMBIUM SPECIOSUM FLOWER WATER,,, 85085-51-4, 285-379-2,"Nelumbium Speciosum Flower Water is an aqueous solution of the steam distillate obtained from the flowers of the Sacred Lotus, Nelumbium speciosum, Nymphaeaceae",,TONIC,4046600%
8957400%,NELUMBIUM SPECIOSUM SEED EXTRACT,,, , ,"Nelumbium Speciosum Seed Extract is the extract of the seeds of Nelumbium speciosum, Nelumbonaceae. 
",,HAIR CONDITIONING,4133000%
9589100%,NELUMBO NUCIFERA CALLUS,,, , ,Nelumbo Nucifera Callus is the callus of Nelumbo nucifera (Nelumbonaceae) grown in culture.,,"ANTI-SEBUM, ANTIFOAMING, ANTIMICROBIAL, ANTIOXIDANT, ASTRINGENT, HAIR CONDITIONING, SKIN PROTECTING",4320800%
8535900%,NELUMBO NUCIFERA CALLUS CULTURE EXTRACT,,, 85085-51-4, 285-379-2,"Nelumbo Nucifera Callus Culture Extract is the extract of a culture of the callus of the Nelumbo nucifera, Nymphaeaceae 
",,"ANTIMICROBIAL, ANTIOXIDANT, HUMECTANT",4059400%
9488000%,NELUMBO NUCIFERA EXTRACT,,, 85085-51-4, 285-379-2 (I),"Nelumbo Nucifera Extract is the extract of the whole plant, Nelumbo nucifera, Nelumbonaceae. ",,SKIN CONDITIONING,4313800%
8535700%,NELUMBO NUCIFERA FLOWER CERA,,, 85085-51-4 , 285-379-2,"Nelumbo Nucifera Flower Cera is the wax obtained from the flowers of Nelumbo nucifera, Nymphaeaceae ",,"SKIN CONDITIONING, VISCOSITY CONTROLLING",4046600%
5732800%,NELUMBO NUCIFERA FLOWER EXTRACT,,, 85085-51-4, 285-379-2,"Nelumbo Nucifera Flower Extract is an extract of the flowers of Nelumbo nucifera, Nymphaeaceae",,SKIN CONDITIONING,4046600%
5732900%,NELUMBO NUCIFERA FLOWER POWDER,,, 85085-51-4, 285-379-2,"Nelumbo Nucifera Flower Powder is the powder obtained from the dried, ground flowers of the Nelumbo nucifera, Nymphaeaceae",,SKIN CONDITIONING,4046600%
5733000%,NELUMBO NUCIFERA FLOWER WATER,,, 85085-51-4, 285-379-2,"Nelumbo Nucifera Flower Water is the aqueous part of the steam distillate obtained from the flowers of Nelumbo nucifera, Nymphaeaceae",,TONIC,4046600%
9290200%,NELUMBO NUCIFERA FLOWER WAX,,, 85085-51-4, 285-379-2 (I),"Nelumbo Nucifera Flower Wax is the wax obtained from the flowers of Nelumbo nucifera, Nelumbonaceae.",,"SKIN CONDITIONING, VISCOSITY CONTROLLING",4220600%
8535800%,NELUMBO NUCIFERA FLOWER/LEAF/STEM JUICE,,, 85085-51-4, 285-379-2,"Nelumbo Nucifera Flower/Leaf/Stem Juice is the juice expressed from the flowers, leaves and stems of Nelumbo nucifera, Nymphaeaceae ",,ANTIOXIDANT,4046600%
8535600%,NELUMBO NUCIFERA GERM,,, 85085-51-4, 285-379-2,Nelumbo Nucifera Germ is the product obtained from the embryo of the Nelumbo nucifera kernel separated in milling,,"HUMECTANT, SKIN CONDITIONING",4046600%
5733100%,NELUMBO NUCIFERA GERM EXTRACT,,, 85085-51-4, 285-379-2,"Nelumbo Nucifera Germ Extract is an extract of the germ of Nelumbo nucifera, Nymphaeaceae",,SKIN CONDITIONING,4046600%
