COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,EC No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
9475300%,  DISODIUM TETRAMETHYLHEXADECENYLCYSTEINE FORMYLPROLINATE,,," 2040469-40-5, 2422121-34-2", ,Disodium Tetramethylhexadecenylcysteine Formylprolinate is the organic compound that conforms to the formula:(,,SKIN PROTECTING,4399800%
9489600%, (LIQUIDAMBAR STYRACIFLUA/TRIBULUS TERRESTRIS) FRUIT/PAEONIA LACTIFLORA ROOT EXTRACT ,,, , ," (Liquidambar Styraciflua/Tribulus Terrestris) Fruit/Paeonia Lactiflora Root Extract is the extract of the fruit of  Liquidambar styraciflua  and  Tribulus terrestris  , and the roots of  Paeonia lactiflora. ",,SKIN CONDITIONING,4307000%
9564500%, ACRYLATES/VA/VINYL NEODECANOATE COPOLYMER,,, 99728-55-9   , ," Acrylates/VA/Vinyl Neodecanoate Copolymer is a copolymer of Vinyl Acetate, vinyl neodecanoate and one or more monomers consisting of acrylic acid, methacrylic acid or one of their simple esters. ",,PLASTICISER,4314500%
9622900%, ASTROCARYUM VULGARE SEED BUTTER ,,, 2187449-53-0 , ,"Astrocaryum Vulgare Seed Butter is the fat obtained from the seeds of  Astrocaryum vulgare, Palmae ",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4319600%
8917700%, BARLEY SH-POLYPEPTIDE-17 ,,, , ,"Barley sh-Polypeptide-17 is a single chain recombinant human peptide, produced by barley plants after using either a transient expression system or transgenesis (stable insertion of a copy of a human gene into its DNA). The starting gene is synthesized to be identical to a human gene which codes for Interleukin 1 Alpha. It contains a maximum of 272 amino acids, which may contain disulfide bonds and/or glycosylation. The protein consists of the proper sequence of the 20 standard amino acids. ",,"HAIR CONDITIONING, SKIN CONDITIONING",4316800%
9858000%, DAUCUS CAROTA SATIVA LEAF EXTRACT ,,, , ,Daucus Carota Sativa (Carrot) Leaf Extract is the extract of the leaves of Daucus carota sativa. ,,SKIN CONDITIONING - MISCELLANEOUS,4409200%
8907800%, GOSSYPIUM HIRSUTUM SEED EXTRACT,,, 8001-29-4 , 232-280-7 ," Gossypium Hirsutum Seed Extract is the extract of the seeds of Gossypium hirsutum, Malvaceae.
",,SKIN CONDITIONING,4109400%
9624800%, HYDROLYZED (CITRUS AURANTIUM AMARA /FORSYTHIA VIRIDISSIMA/GARDENIA FLORIDA) FRUIT/MENTHA ARVENSIS LEAF/(ANGELICA ACUTILOBA/COPTIS JAPONICA/GLYCYRRHIZA GLABRA /PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS ROOT) EXTRACT,,, , ," Hydrolyzed (Citrus Aurantium Amara (Bitter Orange)/Forsythia Viridissima/Gardenia Florida) Fruit/Mentha Arvensis Leaf/(Angelica Acutiloba/Coptis Japonica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Rehmannia Glutinosa/Scutellaria Baicalensis Root) Extract is the hydrolysate of an extract of the fruit of Citrus aurantium amara and Forsythia viridissima/Gardenia florida ; the leaves of Mentha arvensis ; and the roots of Angelica acutiloba , Coptis japonica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , Rehmannia glutinosa , and Scutellaria baicalensis obtained by acid, enzyme or other method of hydrolysis.",,SKIN CONDITIONING,4325900%
9857800%, HYDROLYZED BEE LARVA EXTRACT,,, , ,"Hydrolyzed Bee Larva/Pupa Extract is the hydrolysate of the extract of bee larva and pupa derived by acid, enzyme or other method of hydrolysis. ",,SKIN CONDITIONING - EMOLLIENT,4409200%
9625200%, HYDROLYZED FORSYTHIA VIRIDISSIMA FRUIT/(CIMICIFUGA DAHURICA/GLYCYRRHIZA GLABRA /PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/PUERARIA LOBATA) ROOT EXTRACT ,,, , ,"Hydrolyzed Forsythia Viridissima Fruit/(Cimicifuga Dahurica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Pueraria Lobata) Root Extract is the hydrolysate of an extract of the fruit of Forsythia viridissima and the roots of Cimicifuga dahurica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , and Pueraria lobata derived by acid, enzyme, or other method of hydrolysis.",,SKIN PROTECTING,4325900%
8007700%, ICTASOL,,, 1340-06-3, 215-671-7,"Ichthyolic acid, sodium salt",,"ANTI-SEBORRHEIC, ANTIMICROBIAL",4324400%
8865200%, ISOOCTANOYL TETRAPEPTIDE-25 ,,, -, -,Isooctanoyl Tetrapeptide-25 is the product obtained by the reaction of Tetrapeptide-25  with a branched chain octanoic acid. ,,SKIN CONDITIONING,4177300%
8920400%, LACTOBACILLUS/GERMINATED SOYBEAN FERMENT FILTRATE,,, , ,"Lactobacillus/Germinated Soybean Ferment Filtrate is a filtrate of the product obtained by the fermentation of germinated soybeans ( Glycine max ) by the microorganism, Lactobacillus. 
",,,4119000%
9627600%, METHOXYETHANOL,,, 109-86-4, 203-713-7,"Ethylene Glycol Monomethyl Ether
Ethanol, 2-Methoxy-
Ethylene glycol methyl ether
Ethylene Glycol Monomethyl Ether

","II/665

CMR1b (Reprotoxic 1B)","SOLVENT, VISCOSITY CONTROLLING",4402700%
9627000%, MYRISTOYL GLYCINE/HISTIDINE/LYSINE POLYPEPTIDE,,, , ,"Myristoyl Glycine/Histidine/Lysine Polypeptide is the product obtained by the reaction of myristic acid with a tripeptide consisting of gly-his-lys.

The INCI Name, Myristoyl Glycine/Histidine/Lysine Polypeptide, originally developed in 1997, was designated with a retired status in 2013. For an interim period of time, trade name assignments formerly published with the name Myristoyl Glycine/Histidine/Lysine Polypeptide will be retained in the retired monograph, and also published with the new name assignment, Myristoyl Tripeptide-1.",,SKIN CONDITIONING,4326200%
8981900%, NONAPEPTIDE-11 ,,, , ,"Nonapeptide-11 is the synthetic peptide consisting of arginine, glycine, leucine, lysine, phenylalanine, proline and tyrosine",,"ANTI-SEBUM, SKIN PROTECTING",4266800%
9627800%, PENTACLETHRA MACROPHYLLA SEED OIL,,, , ,"Pentaclethra Macrophylla Seed Oil is the fixed oil expressed from the seeds of Pentaclethra macrophylla, Fabaceae.",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4336000%
9475400%, TRISODIUM TETRAMETHYLHEXADECENYLCYSTEINE BIS-CARBOXYMETHYL FORMYLAMINE,,, 2040473-30-9 , ,Trisodium Tetramethylhexadecenylcysteine Bis-Carboxymethyl Formylamine is the organic compound that conforms to the formula,,SKIN PROTECTING,4299000%
9815800%,(20S)-PROTOPANAXADIOL,,, 30636-90-9, ,"
",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING",4395100%
9698600%,(AGARICUS BLAZEI FERMENT + GANODERMA LUCIDUM FERMENT + GANODERMA MULTIPILEUM FERMENT) EXTRACT,,, , ," (Agaricus Blazei Ferment + Ganoderma Lucidum Ferment + Ganoderma Multipileum Ferment) Extract is the extract of a mixture of the products obtained by the fermentation of Agaricus blazei , Ganoderma lucidum and Ganoderma multipileum.",,"ANTI-SEBUM, ANTIOXIDANT, SKIN PROTECTING",4355300%
9011800%,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT,,, , ,(Angelica Acutiloba/Paeonia Lactiflora) Root/Cnidium Officinale Rhizome Extract is the extract of the roots of Angelica acutiloba and Paeonia lactiflora and the rhizomes of Cnidium officinale. ,,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4304700%
8928500%,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,,, , ,"(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa/Scutellaria Baicalensis) Root/(Cnidium Officinale/Coptis Chinensis) Rhizome/Gardenia Jasminoides Fruit/Phellodendron Chinense Bark Extract is the extract of the roots of Angelica acutiloba , Paeonia lactiflora , Rehmannia glutinosa , Scutellaria baicalensis ; the rhizomes of Cnidium officinale and Coptis chinensis ; the fruit of Gardenia jasminoides and the bark of Phellodendron chinense. 
",,,4119000%
8968600%,(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER,,, , ,"(Angelica Gigas/Glycyrrhiza Uralensis/Rehmannia Glutinosa Root)/Angelica Gigas Stem/Carthamus Tinctorius Flower/(Carthamus Tinctorius/Prunus Persica Seed)Poria Cocos Water is the aqueous solution of the steam distillates obtained from the roots of Angelica gigas, Glycyrrhiza uralensis , and Rehmannia glutinosa ; the stems of Angelica gigas ; the flowers of Carthamus tinctorius ; the seeds of Carthamus tinctorius , and Prunus persica ; and the fungus, Poria cocos. ",,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",4126100%
9076400%,(ANGELICA KEISKEI/CHRYSANTHEMUM ZAWADSKII) LEAF/STEM/CINNAMOMUM CASSIA BARK/TRICHOSANTES KIRILOWII FRUIT/ULMUS DAVIDIANA BARK/ROOT/(PAEONIA JAPONICA/BUPLEURUM FALCATUM/POLYGALA TENUIFOLIA ROOT)/VISCUS ALBUM STEM EXTRACT,,, , ,"(Angelica Keiskei/Chrysanthemum Zawadskii) Leaf/Stem/Cinnamomum Cassia Bark/Trichosantes Kirilowii Fruit/Ulmus Davidiana Bark/Root/(Paeonia Japonica/Bupleurum Falcatum/Polygala Tenuifolia Root)/Viscus Album Stem Extract is the extract of the leaves and stems of Angelica keiskei and Chrysanthemum zawadskii ; the bark of Cinnamomum cassia ; the fruit of Trichosantes kirilowii ; the bark and roots of Ulmus davidiana ; the roots of Paeonia japonica, Bupleurum falcatum and Polygala tenuifolia ; and the stems of Viscus album.",,"ANTI-SEBORRHEIC, ANTI-SEBUM, ANTIOXIDANT, SKIN PROTECTING",4304700%
9665900%,(APPLE/CITRUS JUNOS/LENTIL/PEAR/PUMPKIN/STRAWBERRY/TOMATO FRUIT)/CORN KERNEL/(ARCTIUM LAPPA/BRASSICA OLERACEA ACEPHALA/CABBAGE/CAMELLIA SINENSIS/MORINGA OLEIFERA/RADISH/SPINACH LEAF)/(SORGHUM BICOLOR LEAF/STEM)/OAT MEAL/POTATO PULP/(CARROT/NELUMBO NUCIFERA/RADISH/WILD YAM ROOT)/(AMARANTHUS HYPOCHONDRIACUS/CASHEW/CICER ARIETINUM/COIX LACRYMA-JOBI MA-YUEN /MACADAMIA TERNIFOLIA/PHASEOLUS ANGULARIS/PISTACIA VERA/RHYNCHOSIA NULUBILIS/RICE/SESAME/SETARIA ITALICA/SOYBEAN/SWEET ALMOND/WHEAT SEED)/HORDEUM VULGARE SPROUT/CYPERUS ESCULENTUS TUBER/ARTEMISIA PRINCEPS/BROCCOLI/CHENOPODIUM QUINOA/ENTEROMORPHA COMPRESSA/HORDEUM VULGARE/IPOMOEA BATATAS/LAMINARIA JAPONICA/LENTINUS EDODES/PLEUROTUS OSTREATUS/PORPHYRA TENERA/UNDARIA PINNATIFIDA EXTRACT,,, , ,"This is the extract of the fruits of Citrus junos , Cucurbita pepo, Fragaria ananassa, Lens esculenta, Pyrus malus, Pyrus pyrifolia, and Solanum lycopersicum; the kernels of Zea mays; the leaves of Arctium lappa , Brassica oleracea acephala , Brassica oleracea capitata, Camellia sinensis , Moringa oleifera , Raphanus sativus, and Spinacia oleracea; the leaves and stems of Sorghum bicolor ; the meal of Avena sativa; the pulp of Solanum tuberosum; the roots of Daucus carota, Dioscorea oppositifolia, Nelumbo nucifera , and Raphanus sativus; the seeds of Amaranthus hypochondriacus , Anacardium occidentale, Cicer arietinum , Coix lacryma-Jobi ma-yuen  , Glycine max, Macadamia ternifolia , Oryza sativa, Phaseolus angularis , Pistacia vera , Prunus amygdalus dulcis, Rhynchosia nulubilis , Sesamum indicum, Setaria italica , and Triticum turgidum; the sprouts of Hordeum vulgare ; the tubers of Cyperus esculentus ; the whole plants, Artemisia princeps , Brassica oleracea italica, Chenopodium quinoa , Enteromorpha compressa , Hordeum vulgare , Ipomoea batatas , Laminaria japonica , Lentinus edodes , Pleurotus ostreatus , Porphyra tenera , and Undaria pinnatifida.",,ANTIOXIDANT,4355300%
9865500%,(ARCTIUM LAPPA/CARROT/COLOCASIA ESCULENTA/DIOSCOREA BATATAS/GARLIC/GINGER/IPOMOEA BATATAS/NELUMBO NUCIFERA/ONION/POTATO BULBS)/(CHESTNUT/CITRUS UNSHIU/EGGPLANT/FIG/GRAPE/KIWI/LYCOPERSICON ESCULENTUM/MALUS PUMILA/MUME/PEACH/PLUM/PUMPKIN/PYRUS SEROTINA/RADISH/ZIZIPHUS JUJUBA FRUIT)/(ALLIUM TUBEROSUM/ALOE BARBADENSIS/ANGELICA UTILIS/BRASSICA OLERACEA ACEPHALA/CABBAGE/CELERY/SACCHARINA JAPONICA/UNDARIA PINNATIFIDA LEAF)/(ALLIUM FISTULOSUM/ENTEROMORPHA COMPRESSA/OENANTHE JAVANICA STALK)/LENTINULA EDODES/SUCROSE FERMENT FILTRATE,,, , ,"This is a filtrate of the product obtained by the spontaneous fermentation of the bulbs of Allium cepa, Allium sativum, Arctium lappa, Colocasia esculenta, Daucus carota sativa, Dioscorea batatas, Ipomoea batatas, Nelumbo nucifera, Solanum tuberosum, and Zingiber officinale; the fruits of Actinidia chinensis, Castanea crenata, Citrus unshiu , Cucurbita pepo, Ficus carica, Lycopersicon esculentum, Malus pumila, Prunus mume, Prunus persica, Prunus salicina, Pyrus serotina, Raphanus sativus, Solanum melongena, Vitis vinifera, and Ziziphus jujuba; the leaves of Allium tuberosum, Aloe barbadensis, Angelica utilis , Apium graveolens, Brassica oleracea acephala , Brassica oleracea capitata, Saccharina japonica, and Undria pinnatifida; the stalks of Allium fistulosum, Enteromorpha compressa, and Oenanthe javanica; the whole plant, Lentinula edodes and sucrose.",,"HUMECTANT, SKIN CONDITIONING - HUMECTANT, SKIN PROTECTING",4411200%
9611800%,(ASPERGILLUS/SACCHAROMYCES)/RICE FERMENT/BARLEY GRAIN MEAL/NELUMBO NUCIFERA FLOWER EXTRACT FERMENT EXTRACT FILTRATE,,, , ,"Aspergillus/Saccharomyces)/Rice Ferment/Barley Grain Meal/Nelumbo Nucifera Flower Extract Ferment Extract Filtrate is a filtrate of an extract of the product obtained by the stepwise fermentation of the grains of  Hordeum vulgare  (barley) and Nelumbo Nucifera Flower Extract, by the pre-fermentation product of the grains of  Oryza sativa  (rice), by the microorganisms,  Aspergillus  and  Saccharomyces.",,BLEACHING,4319600%
9865100%,(ASTRAGALUS MEMBRANACEUS/GLYCYRRHIZA URALENSIS (LICORICE)/PANAX GINSENG) ROOT/AMOMUM XANTHIOIDES SEED/HORDEUM VULGARE SPROUT/ARALIA CORDATA/ACHYRANTHES JAPONICA EXTRACT,,, , ,"This is the extract of the roots of Astragalus membranaceus, Glycyrrhiza uralensis and Panax ginseng; the seeds of Amomum xanthioides; the sprouts of Hordeum vulgare; and the whole plants, Aralia cordata and Achyranthes japonica. ",,SKIN CONDITIONING - MISCELLANEOUS,4411200%
9667100%,(BIDENS TRIPARTITA FLOWER/LEAF/STEM)/PERILLA FRUTESCENS LEAF/PRUNELLA VULGARIS EXTRACT,,, , ,"(Bidens Tripartita Flower/Leaf/Stem)/Perilla Frutescens Leaf/Prunella Vulgaris Extract is the extract of the flowers, leaves and stems of Bidens tripartita , the leaves of Perilla frutescens and the whole plant, Prunella vulgaris.
 ",,SKIN CONDITIONING,4355300%
9681800%,(BIFIDOBACTERIUM/POLYSORBATE 80 FERMENT + LACTOBACILLUS/POLYSORBATE 80 FERMENT) LYSATE FILTRATE,,, , ,"(Bifidobacterium/Polysorbate 80 Ferment + Lactobacillus/Polysorbate 80 Ferment) Lysate Filtrate is the filtrate of a lysate of the mixture of the products obtained through the fermentation of Bifidobacterium with Polysorbate 80, and through the fermentation of Lactobacillus with polysorbate 80.",,SKIN CONDITIONING,4355300%
9716600%,(BROCCOLI/ERUCA SATIVA/LEPIDIUM SATIVUM/NASTURTIUM OFFICINALE/RADISH) SPROUT EXTRACT,,, , ,"(Broccoli/Eruca Sativa/Lepidium Sativum/Nasturtium Officinale/Radish) Sprout Extract is the extract of the sprouts of Brassica oleracea italica, Eruca sativa , Lepidium sativum , Nasturtium officinale and Raphanus sativus.",,"SKIN CONDITIONING, SKIN PROTECTING",4355300%
9411000%,(CALENDULA OFFICINALIS/SAFFLOWER FLOWER)/(ACHILLEA MILLEFOLIUM FLOWER/LEAF/STEM)/(VACCINIUM MYRTILLUS/VITEX AGNUS-CASTUS FRUIT)/RHUS CHINENSIS GALL/WALNUT HUSK/(CAMELLIA SINENSIS/NETTLE LEAF)/(JUNIPERUS COMMUNIS LEAF/STEM)/HORSE CHESTNUT NUT/DICHROA FEBRIFUGA ROOT/GRAPE SEED/ACACIA CATECHU WOOD/GOLDENROD/HYPERICUM PERFORATUM EXTRACT,,, , ,"This is the extract of the flowers of  Calendula officinalis  , and  Carthamus tinctorius  (safflower); the flower, leaves and stems of  Achillea millefolium  ; the fruits of  Vaccinium myrtillus  , and  Vitex agnus-castus  ; the gall of  Rhus chinensis  ; the husks of  Juglans regia  (walnut); the leaves of  Camellia sinensis  , and  Urtica dioica  (nettle); the leaves and stems of  Juniperus communis  ; the nuts of  Aesculus hippocastanum  (horse chestnut); the roots of  Dichroa febrifuga  ; the seeds of  Vitis vinifera  (grape); the whole plants,  Hypericum perforatum  , and  Solidago virgaurea  (goldenrod). ",,HAIR DYEING,4251400%
9414400%,(CAMELLIA JAPONICA/PRUNUS MUME/SAFFLOWER FLOWER)/(ARONIA ARBUTIFOLIA/BLUEBERRY/CRANBERRY/EUTERPE OLERACEA FRUIT)/CAMELLIA SINENSIS LEAF/GARCINIA MANGOSTANA PEEL/COFFEE SEED/PROPOLIS/WINE EXTRACT,,, , ,"This is the extract of the flowers of  Camellia japonica  ,  Carthamus tinctorius  (safflower), and  Prunus mume  ; the fruits of  Aronia arbutifolia  ,  Euterpe oleracea  ,  Vaccinium angustifolium  (blueberry), and  Vaccinium macrocarpon  (cranberry); the leaves of  Camellia sinensis ; the peel of  Garcinia mangostana  ; the seeds of  Coffea arabica  (coffee); propolis, and wine. ",,SKIN CONDITIONING,4251400%
9445000%,(CANANGA ODORATA FLOWER/LEAF)/GANODERMA LUCIDUM FRUITING BODY/(CORCHORUS OLITORIUS/HENNA/MELIA AZADIRACHTA/MORUS ALBA/MUNTINGIA CALABURA/PSIDIUM GUAJAVA/TAMARINDUS INDICA LEAF)/(CITRUS HYSTRIX LEAF/PEEL)/(CITRONELLA/CYMBOPOGON SCHOENANTHUS/OCIMUM TENUIFLORUM LEAF/STEM)/(ALPINIA GALANGA/BOESENBERGIA ROTUNDA/GINGER/TURMERIC RHIZOME)/ZINGIBER CASSUMUNAR ROOT EXTRACT,,, , ,"This is the extract of the product obtained by the fermentation of the flowers and leaves of  Cananga odorata  ; the fruiting bodies of  Ganoderma lucidum  ; the leaves of  Corchorus olitorius  ,  Lawsonia inermis  (henna),  Melia azadirachta  ,  Morus alba  ,  Muntingia calabura  ,  Psidium guajava  , and  Tamarindus indica  ; the leaves and peels of  Citrus hystrix  ; the leaves and stems of  Cymbopogon nardus  (citronella),  Cymbopogon schoenanthus  , and  Ocimum tenuiflorum  ; the rhizomes of  Alpinia galanga  ,  Boesenbergia rotunda  ,  Curcuma longa  (turmeric), and  Zingiber officinale  (ginger); and the roots of  Zingiber cassumunar. ",,SKIN CONDITIONING,4262200%
8926900%,(CARTHAMUS TINCTORIUS/CHAMOMILLA RECUTITA/SYZYGIUM AROMATICUM) FLOWER/(LITHOSPERMUM ERYTHRORHIZON/SOPHORA FLAVESCENS/SCUTELLARIA BAICALENSIS) ROOT EXTRACT,,, , ,"(Carthamus Tinctorius/Chamomilla Recutita/Syzygium Aromaticum) Flower/(Lithospermum Erythrorhizon/Sophora Flavescens/Scutellaria Baicalensis) Root Extract is the extract of the flowers of Carthamus tinctorius, Chamomilla recutita, Syzygium aromaticum and the roots of Lithospermum erythrorhizon, Sophora flavescens , and Scutellaria baicalensis",,,4119000%
9636600%,(CITRUS AURANTIUM AMARA/FORSYTHIA SUSPENSA) FRUIT/SCUTELLARIA BAICALENSIS ROOT EXTRACT,,, , ,(Citrus Aurantium Amara/Forsythia Suspensa) Fruit/Scutellaria Baicalensis Root Extract is the extract of the fruits of Citrus aurantium amara and Forsythia suspensa and the roots of Scutellaria baicalensis.,,SKIN CONDITIONING,4355300%
9716400%,(CNIDIUM OFFICINALE/COPTIS CHINENSIS/GLYCYRRHIZA URALENSIS) ROOT EXTRACT,,, , ," (Cnidium Officinale/Coptis Chinensis/Glycyrrhiza Uralensis) Root Extract is the extract of the roots of Cnidium officinale , Coptis chinensis and Glycyrrhiza uralensis",,SKIN CONDITIONING,4355300%
9038300%,(CODONOPSIS TANGSHEN/DIOSCOREA JAPONICA) ROOT/ATRACTYLODES JAPONICA RHIZOME/PORIA COCOS/(DOLICHOS LABLAB/COIX LACRYMA-JOBI MA-YUEN/EURYALE FEROX/NELUMBO NUCIFERA) SEED EXTRACT,,, , ,"(Codonopsis Tangshen/Dioscorea Japonica) Root/Atractyloides Japonica Rhizome/Poria Cocos/(Dolichos Lablab/Coix Lacryma-Jobi Ma-yuen/Euryale Ferox/Nelumbo Nucifera) Seed Extract is the extract of the roots of Codonopsis tangshen and Dioscorea japonica ; the rhizomes of Atractyloides japonica ; the whole plant, Poria cocos ; and the seeds of Dolichos lablab, Coix Lacryma-Jobi Ma-yuen, Euryale Ferox and Nelumbo nucifera.",,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",4304700%
9815700%,(CRYPTOMERIA JAPONICA/CHAMAECYPARIS OBTUSA) STEM FERMENT EXTRACT,,, , ,(Cryptomeria Japonica/Chamaecyparis Obtusa) Stem Ferment Extract is the extract of the product obtained by the spontaneous fermentation of the stems of Cryptomeria japonica and Chamaecyparis obtusa.,,"ANTIMICROBIAL, ANTIOXIDANT, HUMECTANT",4394500%
9716500%,(ECLIPTA PROSTRATA/HOUTTUYNIA CORDATA) LEAF EXTRACT,,, , ,(Eclipta Prostrata/Houttuynia Cordata) Leaf Extract is the extract of the leaves of Eclipta prostrata and Houttuynia cordata. ,,SKIN CONDITIONING,4355300%
9390300%,(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OLIGOSACCHARIDES,,, , ," (Gelidium Elegans/Lingulatum/Rex/Sesquipedale)/(Gracilaria Chilensis/Vermiculophylla)/Pterocladiella Tenuis Oligosaccharides are the oligosaccharides produced by the enzymatic degradation of Agar that is obtained from  Gelidium elegans, Pterocladiella tenuis, Gelidium sesquipedale, Gelidium rex, Gelidium lingulatum, Gracilaria vermiculophylla, Gracilaria chilensis  and  Hydropuntia eucheumatoides. ",,"HUMECTANT, SKIN CONDITIONING",4322000%
9213400%,(GRIFOLA FRONDOSA/INONOTUS OBLIQUUS/SCHIZOPHYLLUM COMMUNE/TRICHOLOMA MATSUTAKE) MYCELIUM/LETHARIELLA CLADONIOIDES FERMENT EXTRACT FILTRATE,,, , ,"(Grifola Frondosa (Maitake)/ Inonotus Obliquus (Mushroom)/ Schizophyllum Commune/ Tricholoma Matsutake) Mycelium /Lethariella Cladonioides Ferment Extract Filtrate is a filtrate of an extract of the product obtained by the fermentation of Grifola frondosa, Inonotus obliquus, Schizophyllum commune, Tricholoma matsutake mycelium, and the lichen, Lethariella cladoniodes. ",,"HUMECTANT, SKIN CONDITIONING",4329700%
9716800%,(HONEY + ZYMOMONAS FERMENT) EXTRACT,,, , ,(Honey + Zymomonas Ferment) Extract is the extract of a mixture of honey with the product obtained through the fermentation of Zymomonas.,,SKIN CONDITIONING,4355000%
9851600%,(LACTOBACILLUS/MILLET SEED FLOUR FERMENT & PANICUM MILIACEUM SEED EXTRACT) FILTRATE ,,, , ,"(Lactobacillus/Millet Seed Flour Ferment & Panicum Miliaceum Seed Extract) Filtrate is a filtrate of the product obtained by the fermentation of a mixture of Panicum Miliaceum Seed Extract and Panicum Miliaceum Seed Flour, by the microorganism Lactobacillus. ",,SKIN CONDITIONING,4398500%
9681900%,(LACTOBACILLUS/POLYSORBATE 80 FERMENT + LEUCONOSTOC/POLYSORBATE 80 FERMENT) LYSATE FILTRATE,,, , ,"(Lactobacillus/Polysorbate 80 Ferment + Leuconostoc/Polysorbate 80 Ferment) Lysate Filtrate is the filtrate of a lysate of the mixture of the products obtained through the fermentation of Lactobacillus with Polysorbate 80, and through the fermentation of Leuconostoc with polysorbate 80.",,SKIN CONDITIONING,4355300%
9367100%,(LAVANDULA ANGUSTIFOLIA/MELISSA OFFICINALIS/HYPERICUM PERFORATUM) FLOWER/(CAMELLIA SINENSIS LEAF/(GLYCYRRHIZA GLABRA/ACANTHOPANAX SENTICOSUS) ROOT/SARRACENIA COBRA NEST LEAF/FLOWER/STALK EXTRACT,,, , ,"(Lavandula Angustifolia/Melissa Officinalis/Hypericum Perforatum) Flower/(Camellia Sinensis Leaf/(Glycyrrhiza Glabra/Acanthopanax Senticosus) Root/Sarracenia Cobra Nest Leaf/Flower/Stalk Extract. 

This is the extract of the flowers of  Lavandula angustifolia, Melissa officinalis, Hypericum perforatum  , the leaves of  Camellia sinensis  , the roots of  Glycyrrhiza glabra, Acanthopanax senticosus  , and the leaves, flowers and stalk of  Sarracenia  'Cobra Nest'",,"ANTI-SEBUM, ANTIMICROBIAL, SKIN CONDITIONING, SKIN PROTECTING",4304700%
8945700%,(LEPIDIUM MEYENII/SARCODON ASPRATUS) ROOT WATER,,, , ,"(Lepidium Meyenii/Sarcodon Aspratus) Root Water is the aqueous solution of the steam distillates obtained from the roots of Lepidium meyenii and Sarcodon aspratus
",,"ANTI-SEBUM, ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING",4123200%
9716300%,(LESPEDEZA BICOLOR/PHELLODENDRON AMURENSE BARK)/MENTHA ARVENSIS LEAF/(ANEMARRHENA ASPHODELOIDES/SCUTELLARIA BAICALENSIS ROOT) EXTRACT,,, , ,This is the extract of the bark of Lespedeza bicolor and Phellodendron amurense ; the leaves of Mentha arvensis ; the roots of Anemarrhena asphodeloides and Scutellaria baicalensis. ,,SKIN CONDITIONING,4355300%
9667400%,(LICORICE/REYNOUTRIA JAPONICA) ROOT/STEM EXTRACT,,, , ,(Licorice/Reynoutria Japonica) Root/Stem Extract is the extract of the roots and stems of Glycyrrhiza uralensis and Reynoutria japonica.,,ANTIOXIDANT,4355300%
9072800%,(LINDERA STRYCHNIFOLIA/PAEONIA ALBIFLORA) ROOT/COMMIPHORA MYRRHA RESIN/SWERTIA JAPONICA/UNCARIA GAMBIR EXTRACT,,, , ,"(Lindera Strychnifolia/Paeonia Albiflora) Root/Commiphora Myrrha Resin/Swertia Japonica/Uncaria Gambir Extract is the extract of the roots of Lindera strychnifolia and Paeonia albiflora , Commiphora Myrrha Resin and the whole plants, Swertia japonica and Uncaria gambir. 
",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4304700%
